Fecha,Fondo,Tipo,Moneda,PatrimonioNeto,PatrimonioNeto_USD
2025-01-15,Novus Income,Renta Fija,ARS,2696966701.97,2590746.1290195715
2025-01-15,Novus Renta Balanceado,Renta Fija Mix,ARS,828917474.46,796270.3939448982
2025-01-15,Novus Estrategia,CER,ARS,1244224411.94,1195220.384630861
2025-01-15,Novus Liquidez,Money Market,ARS,56219342185.03,54005132.149204165
2025-01-15,Novus Gestión,Renta Fija CER,ARS,72330029591.89,69481296.9104075
2025-01-15,Novus Valor,Dólar Linked,ARS,536225625.06,515106.27157188696
2025-01-15,Novus PyME FCI Abierto PyMES,PyME,ARS,1919272692.7,1843681.7538434723
2025-01-15,Novus Multiestrategia,Multi,ARS,5181817070.29,4977730.168613215
2025-01-15,Novus Renta Fija,Renta Fija,ARS,2662341542.14,2557484.688034508
2025-01-15,Novus Performance,House View ARS,ARS,46711485331.02,44871744.13896071
2025-01-15,Novus Liquidez Plus,Renta Fija CP,ARS,7055327136.04,6777451.665721638
2025-01-16,Novus Balanceado,Renta Fija Mix,ARS,110782470.18,106368.18756021973
2025-01-16,Novus Capital,House View USD,USD,19539549.52,19539549.52
2025-01-16,Novus Renta Capital,Pagarés/Cheques,ARS,1489577395.73,1430223.0989887852
2025-01-16,Novus Valor,Dólar Linked,ARS,535115346.56,513792.926414832
2025-01-16,Novus Performance,House View ARS,ARS,46635594082.18,44777333.54614385
2025-01-16,Novus Multiestrategia,Multi,ARS,5195647480.97,4988619.633184281
2025-01-16,Novus PyME FCI Abierto PyMES,PyME,ARS,1921776376.58,1845200.5063682438
2025-01-16,Novus Ahorro Dolares,USD MEP,USD,2000.0,2000.0
2025-01-16,Novus Renta Fija,Renta Fija,ARS,2666552009.28,2560299.5112974276
2025-01-16,Novus Renta Mixta,Mixto,ARS,1486312059.7,1427087.874844371
2025-01-16,Novus Estrategia,CER,ARS,1245787778.91,1196147.6207564415
2025-01-16,Novus Gestión,Renta Fija CER,ARS,72284759555.63,69404472.1124726
2025-01-16,Novus Renta Balanceado,Renta Fija Mix,ARS,827717562.13,794735.9970623438
2025-01-16,Novus Liquidez Plus,Renta Fija CP,ARS,7435383082.66,7139109.834195102
2025-01-16,Novus Income,Renta Fija,ARS,2698170331.18,2590657.956895671
2025-01-16,Novus Liquidez,Money Market,ARS,67857985404.47,65154088.97484937
2025-01-16,Novus Renta Dolar,USD MEP,USD,18056561.45,18056561.45
2025-01-16,Novus Gestion II,Renta Fija CP,ARS,7445205570.5,7148540.931255634
2025-01-17,Novus Renta Fija,Renta Fija,ARS,2662115821.68,2556040.0898030116
2025-01-17,Novus Ahorro Dolares,USD MEP,USD,2000.0,2000.0
2025-01-17,Novus Liquidez Plus,Renta Fija CP,ARS,7586419593.05,7284128.083377498
2025-01-17,Novus PyME FCI Abierto PyMES,PyME,ARS,1922799243.63,1846182.615848623
2025-01-17,Novus Renta Dolar,USD MEP,USD,17947259.98,17947259.98
2025-01-17,Novus Income,Renta Fija,ARS,2701003348.4,2593378.0885783164
2025-01-17,Novus Gestión,Renta Fija CER,ARS,72315509677.17,69433996.95236966
2025-01-17,Novus Liquidez,Money Market,ARS,46214712602.01,44373222.6777853
2025-01-17,Novus Gestion II,Renta Fija CP,ARS,7455786937.01,7158700.66840313
2025-01-17,Novus Renta Mixta,Mixto,ARS,1453726776.8,1395800.9981609175
2025-01-17,Novus Multiestrategia,Multi,ARS,5212965269.93,5005247.370598265
2025-01-17,Novus Renta Balanceado,Renta Fija Mix,ARS,825507844.41,792614.3286385019
2025-01-17,Novus Renta Capital,Pagarés/Cheques,ARS,1498520513.85,1438809.8660469283
2025-01-17,Novus Valor,Dólar Linked,ARS,534476114.37,513179.1653263676
2025-01-17,Novus Balanceado,Renta Fija Mix,ARS,110836407.96,106419.97611386272
2025-01-17,Novus Performance,House View ARS,ARS,46522650342.34,44668890.20773901
2025-01-17,Novus Estrategia,CER,ARS,1294212378.77,1242642.6746405798
2025-01-17,Novus Capital,House View USD,USD,19979154.74,19979154.74
2025-01-20,Novus Renta Balanceado,Renta Fija Mix,ARS,825610530.19,792712.9227598378
2025-01-20,Novus Liquidez,Money Market,ARS,48345722589.92,46419319.589313045
2025-01-20,Novus Balanceado,Renta Fija Mix,ARS,3071884.13,2949.48060620237
2025-01-20,Novus Renta Fija,Renta Fija,ARS,2667239401.33,2560959.513248846
2025-01-20,Novus Renta Dolar,USD MEP,USD,18108749.15,18108749.15
2025-01-20,Novus PyME FCI Abierto PyMES,PyME,ARS,1926017625.83,1849272.7571041288
2025-01-20,Novus Liquidez Plus,Renta Fija CP,ARS,7581516409.5,7279420.274040504
2025-01-20,Novus Performance,House View ARS,ARS,46661060026.25,44801784.76402006
2025-01-20,Novus Income,Renta Fija,ARS,2701916813.99,2594255.1558530307
2025-01-20,Novus Estrategia,CER,ARS,1295413462.2,1243795.899219795
2025-01-20,Novus Capital,House View USD,USD,20041063.22,20041063.22
2025-01-20,Novus Valor,Dólar Linked,ARS,534520729.42,513222.0026272393
2025-01-20,Novus Gestion II,Renta Fija CP,ARS,7490164759.05,7191708.657994996
2025-01-20,Novus Multiestrategia,Multi,ARS,5213033195.91,5005312.589972495
2025-01-20,Novus Renta Mixta,Mixto,ARS,1460715765.03,1402511.5003703097
2025-01-20,Novus Ahorro Dolares,USD MEP,USD,2000.0,2000.0
2025-01-20,Novus Gestión,Renta Fija CER,ARS,72446068752.2,69559353.71827239
2025-01-20,Novus Renta Capital,Pagarés/Cheques,ARS,1495543486.88,1435951.4628843858
2025-01-21,Novus PyME FCI Abierto PyMES,PyME,ARS,1928128455.05,1841574.3830771174
2025-01-21,Novus Income,Renta Fija,ARS,2705623007.54,2584167.049606932
2025-01-21,Novus Gestión,Renta Fija CER,ARS,72488997189.24,69234951.6076157
2025-01-21,Novus Balanceado,Renta Fija Mix,ARS,3131661.58,2991.080665341489
2025-01-21,Novus Renta Capital,Pagarés/Cheques,ARS,1503299097.6,1435815.7004489186
2025-01-21,Novus Valor,Dólar Linked,ARS,536311831.18,512236.68581596436
2025-01-21,Novus Liquidez Plus,Renta Fija CP,ARS,7573178462.36,7233216.966548978
2025-01-21,Novus Capital,House View USD,USD,24978503.04,24978503.04
2025-01-21,Novus Multiestrategia,Multi,ARS,5232460225.25,4997574.03924649
2025-01-21,Novus Renta Balanceado,Renta Fija Mix,ARS,823788451.88,786808.4235174176
2025-01-21,Novus Renta Dolar,USD MEP,USD,17984875.19,17984875.19
2025-01-21,Novus Gestion II,Renta Fija CP,ARS,7575381028.3,7235320.658863419
2025-01-21,Novus Estrategia,CER,ARS,1296080924.22,1237899.5923155814
2025-01-21,Novus Renta Fija,Renta Fija,ARS,2673930020.93,2553896.767504452
2025-01-21,Novus Liquidez,Money Market,ARS,50624526605.57,48351981.481340714
