Fecha,Agente,Asset_Category,Moneda,Volumen_USD,Gastos_USD,TC_Aplicado,Fondo
2026-03-17,WIN Securities,Renta Variable,ARS,22205.89609053202,40.30370466362804,1395.9999575616,RVARIABLE
2026-03-18,WIN Securities,Renta Variable,ARS,3285.2391719223515,5.9627043248010025,1394.0000287164,RVARIABLE
2026-03-18,WIN Securities,Renta Variable,ARS,5553.658422180002,10.079892188337004,1394.0000287164,RVARIABLE
2026-03-18,WIN Securities,Renta Variable,ARS,695.6312625710003,1.2625681232020005,1394.0000287164,RVARIABLE
2026-03-18,WIN Securities,Renta Variable,ARS,1390.2438738000005,2.523292630947001,1394.0000287164,RVARIABLE
2026-03-18,WIN Securities,Renta Variable,ARS,13552.940897280005,24.59858629384301,1394.0000287164,RVARIABLE
2026-03-18,WIN Securities,Renta Variable,ARS,695.0358536880003,1.2614920830520004,1394.0000287164,RVARIABLE
2026-03-18,WIN Securities,Renta Variable,ARS,171.34432932540008,0.3109899505520001,1394.0000287164,RVARIABLE
2026-03-18,WIN Securities,Renta Variable,ARS,13501.549219716006,24.505315133641012,1394.0000287164,RVARIABLE
2026-03-18,WIN Securities,Renta Variable,ARS,12822.198444614505,23.27229507295801,1394.0000287164,RVARIABLE
2026-03-18,WIN Securities,Renta Variable,ARS,3478.5451220292016,6.313557976110003,1394.0000287164,RVARIABLE
2026-03-18,WIN Securities,Renta Variable,ARS,1047.7524891767005,1.9016714098930005,1394.0000287164,RVARIABLE
2026-03-18,WIN Securities,Renta Variable,ARS,6964.289670022003,12.640186253242003,1394.0000287164,RVARIABLE
2026-03-18,WIN Securities,Renta Variable,ARS,2803.3087586076504,5.088005634068002,1394.0000287164,RVARIABLE
2026-03-19,WIN Securities,Renta Variable,ARS,1240.078873940978,2.2507493591429597,1394.5000082973,RVARIABLE
2026-03-19,WIN Securities,Renta Variable,ARS,4951.828582942411,8.98757972422184,1394.5000082973,RVARIABLE
2026-03-19,WIN Securities,Renta Variable,ARS,9935.145154223823,18.032291036486676,1394.5000082973,RVARIABLE
2026-03-19,WIN Securities,Renta Variable,ARS,96870.74162512328,175.82040053149186,1394.5000082973,RVARIABLE
